Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
12465.62 ; 3.642395
12468.05 ; 3.641841
12472.9 ; 3.640739
12482.6 ; 3.638538
12502.0 ; 3.634144
12512.35 ; 3.631801
12552.79 ; 3.622649
12593.22 ; 3.613504
12674.08 ; 3.595223
12835.81 ; 3.558673
13159.27 ; 3.485582
13806.18 ; 3.339062
15100.0 ; 3.04083
17087.31 ; 2.550786
17392.65 ; 2.470003
17545.32 ; 2.42897
17621.66 ; 2.408302
17659.83 ; 2.397892
17697.99 ; 2.387447
17706.73 ; 2.385047
17715.46 ; 2.382644
17719.83 ; 2.381439
17724.2 ; 2.380232
17726.39 ; 2.379625
17728.57 ; 2.379021
17730.75 ; 2.378416
17731.84 ; 2.378113
17732.93 ; 2.377811
17734.07 ; 2.377497
17734.64 ; 2.377342
17735.2 ; 2.377192
17735.77 ; 2.377041
17736.33 ; 2.376899
17736.62 ; 2.376827
17736.9 ; 2.37676
17737.18 ; 2.376696
17737.46 ; 2.376634
17737.75 ; 2.376574
17738.03 ; 2.376519
17738.31 ; 2.37647
17738.59 ; 2.376426
17738.88 ; 2.376386
17739.16 ; 2.376356
17739.44 ; 2.376333
17739.72 ; 2.376319
17740.01 ; 2.376316
17740.29 ; 2.376324
17740.57 ; 2.376345
17740.85 ; 2.37638
17741.14 ; 2.376431
17741.42 ; 2.376497
17741.7 ; 2.376581
17741.98 ; 2.376683
17742.47 ; 2.376908
17742.96 ; 2.377196
17743.45 ; 2.377549
17743.93 ; 2.377956
17744.42 ; 2.378431
17744.9 ; 2.378947
17745.87 ; 2.380094
17746.84 ; 2.381269
17747.81 ; 2.382305
17748.34 ; 2.382748
17748.86 ; 2.383065
17749.42 ; 2.383252
17749.87 ; 2.383276
17750.0 ; 2.383261
17750.04 ; 2.383254
17750.14 ; 2.383233
17750.24 ; 2.383207
17750.43 ; 2.38314
17750.57 ; 2.383077
17750.86 ; 2.38291
17751.15 ; 2.382696
17751.67 ; 2.382202
17752.18 ; 2.381593
