Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
20193.48 ; 1.621543
20196.05 ; 1.620555
20202.15 ; 1.618293
20208.25 ; 1.616088
20220.45 ; 1.611743
20244.85 ; 1.603115
20293.65 ; 1.585857
20437.49 ; 1.534373
20581.32 ; 1.481888
20868.98 ; 1.37509
21444.3 ; 1.150576
22019.62 ; 0.9121736
22307.28 ; 0.7890988
22451.11 ; 0.7265184
22594.94 ; 0.6636687
22633.47 ; 0.6468259
22671.99 ; 0.6300503
22691.26 ; 0.6217247
22710.52 ; 0.6134986
22720.15 ; 0.609465
22729.78 ; 0.6055177
22739.41 ; 0.6017297
22744.23 ; 0.5999326
22749.04 ; 0.5982388
22754.82 ; 0.5963986
22757.71 ; 0.595598
22760.6 ; 0.594913
22763.49 ; 0.5943839
22766.38 ; 0.5940696
22769.27 ; 0.5940616
22770.72 ; 0.594217
22772.16 ; 0.5945113
22773.93 ; 0.5951194
22775.7 ; 0.5960931
22777.47 ; 0.5975876
22778.35 ; 0.5986008
22779.23 ; 0.5998588
22780.12 ; 0.6014591
22781.0 ; 0.6034859
22781.88 ; 0.6061433
22782.76 ; 0.6097332
22783.21 ; 0.6120764
22783.65 ; 0.6148086
22784.09 ; 0.6180843
22784.53 ; 0.6220372
22784.97 ; 0.626833
22785.41 ; 0.6326757
22785.85 ; 0.6398145
22786.29 ; 0.64855
22786.74 ; 0.6595104
22787.18 ; 0.6726411
22787.62 ; 0.6886576
22788.06 ; 0.7081287
22788.5 ; 0.7316974
22788.94 ; 0.7600785
22789.38 ; 0.7940516
22789.82 ; 0.8344489
22790.27 ; 0.8833132
22790.71 ; 0.9393665
22791.15 ; 1.004464
22791.59 ; 1.079402
22792.03 ; 1.164874
22792.47 ; 1.261418
22792.91 ; 1.369371
22793.35 ; 1.488813
22793.8 ; 1.622614
22794.24 ; 1.764234
22795.12 ; 2.075162
22796.88 ; 2.754736
22797.84 ; 3.108009
22798.8 ; 3.406002
22799.36 ; 3.541217
22799.92 ; 3.641153
22800.0 ; 3.652294
22800.24 ; 3.680794
22800.47 ; 3.701025
22800.93 ; 3.720167
22801.0 ; 3.720558
22801.22 ; 3.717436
22801.43 ; 3.708317
22801.86 ; 3.671202
22802.4 ; 3.590823
22802.94 ; 3.475776
22803.75 ; 3.247865
22804.55 ; 2.973658
22807.51 ; 1.853097
22808.25 ; 1.61046
22808.99 ; 1.397894
22809.36 ; 1.303648
22809.73 ; 1.217493
22810.1 ; 1.139301
22810.46 ; 1.070632
22810.83 ; 1.00734
22811.2 ; 0.9510252
22811.57 ; 0.9012226
22811.94 ; 0.8574336
22812.31 ; 0.8191417
22812.68 ; 0.7858272
22813.05 ; 0.7569793
22813.41 ; 0.7327299
22813.78 ; 0.7112755
22814.15 ; 0.6929055
22814.52 ; 0.6772186
22814.89 ; 0.6638502
22815.26 ; 0.6524726
22815.63 ; 0.6427945
22816.0 ; 0.6345595
22816.37 ; 0.6275441
22816.74 ; 0.6215551
22817.11 ; 0.6164265
22817.48 ; 0.6120175
22817.85 ; 0.6082087
22818.59 ; 0.6020076
22819.32 ; 0.5972637
22820.06 ; 0.5934275
22820.8 ; 0.5902843
22821.54 ; 0.5876406
22822.27 ; 0.5853946
22823.75 ; 0.5816197
